court,case_count,docket_lines,sealed_article,seal_motion,articles/motions
ared,2,5,2,0,inf
azd,4,19,10,1,10.0
cacd,39,642,427,65,6.569230769230769
caed,1,1,0,0,
cand,30,706,14,592,0.02364864864864865
casd,6,84,5,36,0.1388888888888889
cod,12,102,0,0,
ded,56,197,69,3,23.0
flmd,5,14,1,4,0.25
flsd,8,108,19,44,0.4318181818181818
gamd,1,1,0,0,
gand,10,27,0,5,0.0
hid,2,21,3,14,0.21428571428571427
idd,1,1,0,0,
ilcd,1,5,1,0,inf
ilnd,17,221,89,56,1.5892857142857142
innd,3,14,1,2,0.5
insd,4,34,21,0,inf
ksd,4,27,12,0,inf
lawd,1,3,1,0,inf
mad,13,57,2,18,0.1111111111111111
mied,4,91,80,6,13.333333333333334
miwd,2,17,3,9,0.3333333333333333
mnd,11,107,57,1,57.0
moed,1,3,0,0,
mowd,1,6,0,2,0.0
mtd,1,5,0,0,
nced,1,102,80,14,5.714285714285714
ncmd,1,9,0,4,0.0
ncwd,5,64,29,10,2.9
njd,3,147,0,53,0.0
nvd,5,5,0,0,
nyed,6,8,0,0,
nynd,1,3,1,0,inf
nysd,9,39,11,7,1.5714285714285714
ohnd,2,22,18,0,inf
ord,5,67,0,5,0.0
pamd,1,4,1,2,0.5
prd,1,4,0,0,
rid,1,7,0,2,0.0
tned,3,31,12,9,1.3333333333333333
tnwd,1,1,0,0,
txed,174,2901,2146,63,34.06349206349206
txnd,9,187,81,2,40.5
txsd,6,11,1,0,inf
txwd,3,5,0,1,0.0
utd,1,11,4,3,1.3333333333333333
vaed,3,27,6,12,0.5
vtd,1,4,0,3,0.0
wawd,2,2,0,0,
wied,7,46,2,5,0.4
wiwd,4,247,126,9,14.0
